module,name,permission,anonymous user,authenticated user,administrator,publisher,editor,event creator,site manager,site admin
,NC Charts Bar: Edit Bean,edit any nc_charts_bar bean,,,1,1,,,1,1
,NC Charts Bar: View Bean,view any nc_charts_bar bean,1,1,1,,,,,
,NC Charts Bar: Delete Bean,delete any nc_charts_bar bean,,,1,,,,1,1
,NC Charts Line: Add Bean,create any nc_charts_line bean,,,1,,,,1,1
,NC Charts Line: Edit Bean,edit any nc_charts_line bean,,,1,1,,,1,1
,NC Charts Line: View Bean,view any nc_charts_line bean,1,1,1,,,,,
,NC Charts Line: Delete Bean,delete any nc_charts_line bean,,,1,,,,1,1
,Quick Links: Add Bean,create any nc_quicklinks bean,,,1,,,,1,1
,Quick Links: Edit Bean,edit any nc_quicklinks bean,,,1,1,,,1,1
,Quick Links: View Bean,view any nc_quicklinks bean,1,1,1,1,1,1,1,1
,Quick Links: Delete Bean,delete any nc_quicklinks bean,,,1,,,,1,1
,Signup: MailChimp: Add Bean,create any nc_signup_mailchimp bean,,,1,,,,1,1
,Signup: MailChimp: Edit Bean,edit any nc_signup_mailchimp bean,,,1,1,,,1,1
,Signup: MailChimp: View Bean,view any nc_signup_mailchimp bean,1,1,1,1,1,1,1,1
,Signup: MailChimp: Delete Bean,delete any nc_signup_mailchimp bean,,,1,,,,1,1
,Signup: Constant Contact: Add Bean,create any nc_signup_constant_contact bean,,,1,,,,1,1
,Signup: Constant Contact: Edit Bean,edit any nc_signup_constant_contact bean,,,1,1,,,1,1
,Signup: Constant Contact: View Bean,view any nc_signup_constant_contact bean,1,1,1,1,1,1,1,1
,Signup: Constant Contact: Delete Bean,delete any nc_signup_constant_contact bean,,,1,,,,1,1
,Signup: iContact: Add Bean,create any nc_signup_icontact bean,,,1,,,,1,1
,Signup: iContact: Edit Bean,edit any nc_signup_icontact bean,,,1,1,,,1,1
,Signup: iContact: View Bean,view any nc_signup_icontact bean,1,1,1,1,1,1,1,1
,Signup: iContact: Delete Bean,delete any nc_signup_icontact bean,,,1,,,,1,1
,Follow Us: Add Bean,create any nc_social_follow_us bean,,,1,,,,1,1
,Follow Us: Edit Bean,edit any nc_social_follow_us bean,,,1,1,,,1,1
,Follow Us: View Bean,view any nc_social_follow_us bean,1,1,1,1,1,1,1,1
