module,name,permission,anonymous user,authenticated user,administrator,publisher,editor,event creator,site manager,site admin
webform_remote_post,,,,,,,,,,
,Admin webform remote posts,admin webform remote posts,,,1,,,,,1
workbench,,,,,,,,,,
,Administer Workbench settings,administer workbench,,,1,,,,,
,Access My Workbench,access workbench,,,1,1,1,1,1,1
workbench_moderation,,,,,,,,,,
,View all unpublished content,view all unpublished content,,,1,1,1,1,1,1
,Administer Workbench Moderation,administer workbench moderation,,,1,,,,1,1
,Bypass moderation restrictions,bypass workbench moderation,,,1,,,,1,1
,View moderation history,view moderation history,,,1,1,1,1,1,1
,View the moderation messages on a node,view moderation messages,,,1,1,1,1,1,1
,"Use ""My drafts"" workbench tab",use workbench_moderation my drafts tab,,,1,1,1,1,1,1
,"Use ""Needs review"" workbench tab",use workbench_moderation needs review tab,,,1,1,1,1,1,1
,Moderate all content from Draft to Needs Review,moderate content from draft to needs_review,,,1,1,1,1,1,1
,Moderate all content from Needs Review to Draft,moderate content from needs_review to draft,,,1,1,,,1,1
,Moderate all content from Needs Review to Published,moderate content from needs_review to published,,,1,1,,,1,1
xmlsitemap,,,,,,,,,,
,Administer XML sitemap settings.,administer xmlsitemap,,,1,,,,1,1
nc_google_cse,,,,,,,,,,
,Administer NC Google SCE,administer nc_google_cse,,,1,,,,,1
nc_table_of_contents,,,,,,,,,,
,Table of Contents: Add Bean,create any nc_table_of_contents bean,,,1,,,,1,1
,Table of Contents: Edit Bean,edit any nc_table_of_contents bean,,,1,1,,,1,1
,Table of Contents: View Bean,view any nc_table_of_contents bean,1,1,1,1,1,1,1,1
,Table of Contents: Delete Bean,delete any nc_table_of_contents bean,,,1,,,,1,1
